id,area_id,name,description,hint1,hint2,hint3
GQ,Africa,赤道ギニア,赤道と名はつくが、実は赤道は通っていない。首都は大陸部ではなくビオコ島に置かれている。かつてはコーヒー豆やカカオ豆などの農林水産業を行っていたが、90年代に油田が開発され、鉱業へシフトチェンジした。,実は赤道を通っていない,首都マラボはビオコ島にある,石油産出国である
US,NorthAmerica,アメリカ,世界第3位の国土と人口を持つ。雄大な大自然や魅力的な観光スポットが多いことで有名。歴史は浅く、移民が多くいることもあり多くの国家の特徴を合わせ持つ。公用語は存在せず、国内では300種類以上の言語が使用されていると言われている。陸上国境は2か国との間にしかないが、海上国境はロシアなど多くの国との間に存在する。ロシアとは最も近い所でたった4kmしか離れておらず、冬季は海が凍結し歩いて渡ることも可能。,世界第3位の国土と人口を持つ,300種類以上の言語が使用されている,ロシア領との最短距離は4km
CA,NorthAmerica,カナダ,世界で二番目に大きな国土を誇る。その国土の40％が森林で、世界屈指の様々な自然環境を満喫できる。また、その他の国々を合わせた数よりも多くの湖があり、世界中の森林の10%がカナダ国内にある。カリブーやホッキョクグマ、クジラなどの動物もたくさん生息している。世界のメープルシロップの70％以上がカナダで生産されている。国民1人 あたりのドーナツショップの数が世界一で、ドーナツ消費量も世界一である。,国土の40％が森林,国民1人 あたりのドーナツショップの数が世界一,世界で二番目に大きな国土を持つ国
MX,LatinAmericaandCaribbean,メキシコ,北にアメリカ合衆国と南東にグアテマラ、ベリーズと国境を接する。スペイン語圏において最も人口の多い国である。首都メキシコシティをはじめとした都市が標高2000ｍ級の大地に点在する。またメキシコシティはかつて湖だった場所に作られており、年々少しずつ沈んでいる。世界最小の火山と世界最大のピラミッドが存在する。パーティや祭りが盛んで、死者の日など有名な祭りが年中たくさん行われている。,都市が標高2000ｍ級の大地に点在する,首都の土地がが少しずつ沈んでいる,世界最大のピラミッドが存在する
BR,LatinAmericaandCaribbean,ブラジル,ラテンアメリカで領土・人口が最大の国で、世界最大のポルトガル語使用人口を擁する国でもある。サッカーとカーニバルが有名。世界で生産されるコーヒー豆の約3割を生産している。南米諸国で接していないのはチリとエクアドルだけである。国旗の中央の円はリオデジャネイロの空に見える星座を表している。星はそれぞれブラジルの州を表しており、中央の白い帯は黄道を表し、秩序と進歩という意味のポルトガル語が記されている。,南米諸国で接していないのはチリとエクアドルだけ,世界最大のポルトガル語使用人口を擁する国,サッカーとカーニバルが有名
AR,LatinAmericaandCaribbean,アルゼンチン,ラテンアメリカで2番目に領土が大きく、亜熱帯雨林と砂漠のような峡谷、パタゴニアの森、湖、氷河など相反する風景が凝縮された国。首都であるブエノスアイレスは南アメリカのパリと呼ばれており、ラテンアメリカで最もヨーロッパ的な文化を持つ。しかし、ガウチョの伝統やタンゴのように独自の文化的要素もある。国旗はスペインからの独立運動の際に使われた軍服の色からできており、中央の太陽は五月の太陽と呼ばれる。,首都は南アメリカのパリと呼ばれている,ラテンアメリカで2番目に領土が大きい,ガウチョの伝統やタンゴが有名
VE,LatinAmericaandCaribbean,ベネズエラ,南アメリカ大陸でも指折りの自然の宝庫として知られており、国土の40%以上が自然保護区域で、野生動物や森林の生態が守られている。世界最大の落差を誇るエンジェルフォールや世界で一番雷が集中する地域と言われるマラカイボ湖が有名。原油埋蔵量は世界最大。国旗の星は独立戦争時代に立ち上がった植民地州を表す。しかし8つ目の星であるガイアナは現在独立国でありベネズエラの一部ではない。,国土の40%以上が自然保護区域,エンジェルフォールが観光地として人気,原油埋蔵量は世界最大
UY,LatinAmericaandCaribbean,ウルグアイ,南アメリカ大陸で二番目に面積が小さく、日本から一番遠い国である。人よりも牛の数の方が多く、国民1人当たりの牛肉消費量は世界一。生活水準が安定しており、首都モンテビデオは中南米で生活の質が最も高い都市に選ばれている。南米で唯一の福祉国家で、南米のスイスと呼ばれる。第一回サッカーW杯の開催地かつ優勝国である。国旗の白と青の９本の縞は独立に参加した９地方を表している。左上の太陽は５月の太陽と呼ばれる。,日本から一番遠い国,南米で唯一の福祉国家で南米のスイスと呼ばれる,第一回サッカーW杯の開催地かつ優勝国
CO,LatinAmericaandCaribbean,コロンビア,豊かな自然に恵まれ、非常に多様な環境と文化、民族（88の部族と200の言語集団）を持つ国である。世界的なコーヒー豆の産地として知られるほか、エメラルドの産出量は世界一。首都ボゴタは人口500万人以上の都市の中で最も高い標高2700mに位置する。サッカーが盛んで有名だが、自転車競技も非常に盛んで世界最長のサイクリングロードがあり、毎週日曜日・祝日には転車・歩行者への道路の開放が行われている。,エメラルドの産出量世界一,首都は標高2700mに位置する,世界最長のサイクリングロードがある
MA,Africa,モロッコ,青い街並み「シャウエン」がフォトジェニックな観光地として有名。歴史上の理由からアラブやヨーロッパなど様々な文化が入り混じる国。チュニジア、アルジェリアと合わせて「マグレブ三国」と呼ばれる。,青い街並み「シャウエン」が有名,アラブやヨーロッパなどの様々な文化が入り混じっている,「マグレブ三国」のひとつ
